time,latitude,longitude,npp,zooc
1999-04-20,-31.75,115.66667,1477.8096,0.41325378
1999-04-21,-31.75,115.66667,1598.1821,0.554863
1999-04-22,-31.75,115.66667,1367.8535,0.6068802
1999-04-23,-31.75,115.66667,1400.956,0.42481232
1999-04-24,-31.75,115.66667,1599.8027,0.6184387
1999-04-25,-31.75,115.66667,1328.9639,0.49417114
1999-04-26,-31.75,115.66667,1605.127,0.36123657
1999-04-27,-31.75,115.66667,1205.813,0.23986053
1999-04-28,-31.75,115.66667,1374.1035,0.17050934
1999-04-29,-31.75,115.66667,1172.0156,0.45371246
